"","Accession_ID","Full_sample_ID","Sample_ID","Group"
"1","GSM8016712","WT_HBSS_13_LV","X13_LV","WT_HBSS"
"2","GSM8016713","WT_HBSS_13_RV","X13_RV","WT_HBSS"
"3","GSM8016714","WT_HBSS_2004_LV","X2004_LV","WT_HBSS"
"4","GSM8016715","WT_HBSS_2004_RV","X2004_RV","WT_HBSS"
"5","GSM8016716","PKP2_HBSS_2006_LV","X2006_LV","PKP2_HBSS"
"6","GSM8016717","PKP2_HBSS_2006_RV","X2006_RV","PKP2_HBSS"
"7","GSM8016718","WT_HBSS_2027_LV","X2027_LV","WT_HBSS"
"8","GSM8016719","WT_HBSS_2027_RV","X2027_RV","WT_HBSS"
"9","GSM8016720","PKP2_m3e13_2029_LV","X2029_LV","PKP2_m3e13"
"10","GSM8016721","PKP2_m3e13_2029_RV","X2029_RV","PKP2_m3e13"
"11","GSM8016722","WT_HBSS_2031_LV","X2031_LV","WT_HBSS"
"12","GSM8016723","WT_HBSS_2031_RV","X2031_RV","WT_HBSS"
"13","GSM8016724","PKP2_m3e13_2033_LV","X2033_LV","PKP2_m3e13"
"14","GSM8016725","PKP2_m3e13_2033_RV","X2033_RV","PKP2_m3e13"
"15","GSM8016726","PKP2_m1e14_2034_LV","X2034_LV","PKP2_m1e14"
"16","GSM8016727","PKP2_m1e14_2034_RV","X2034_RV","PKP2_m1e14"
"17","GSM8016728","WT_HBSS_2040_LV","X2040_LV","WT_HBSS"
"18","GSM8016729","WT_HBSS_2040_RV","X2040_RV","WT_HBSS"
"19","GSM8016730","PKP2_m1e14_2043_LV","X2043_LV","PKP2_m1e14"
"20","GSM8016731","PKP2_m1e14_2043_RV","X2043_RV","PKP2_m1e14"
"21","GSM8016732","PKP2_m3e13_2045_LV","X2045_LV","PKP2_m3e13"
"22","GSM8016733","PKP2_m3e13_2045_RV","X2045_RV","PKP2_m3e13"
"23","GSM8016734","PKP2_m3e13_2047_LV","X2047_LV","PKP2_m3e13"
"24","GSM8016735","PKP2_m3e13_2047_RV","X2047_RV","PKP2_m3e13"
"25","GSM8016736","PKP2_m3e13_2048_LV","X2048_LV","PKP2_m3e13"
"26","GSM8016737","PKP2_m3e13_2048_RV","X2048_RV","PKP2_m3e13"
"27","GSM8016738","PKP2_HBSS_2052_LV","X2052_LV","PKP2_HBSS"
"28","GSM8016739","PKP2_HBSS_2052_RV","X2052_RV","PKP2_HBSS"
"29","GSM8016740","PKP2_HBSS_3213_LV","X3213_LV","PKP2_HBSS"
"30","GSM8016741","PKP2_HBSS_3213_RV","X3213_RV","PKP2_HBSS"
"31","GSM8016742","PKP2_HBSS_3217_LV","X3217_LV","PKP2_HBSS"
"32","GSM8016743","PKP2_HBSS_3217_RV","X3217_RV","PKP2_HBSS"
"33","GSM8016744","PKP2_m1e14_5726_LV","X5726_LV","PKP2_m1e14"
"34","GSM8016745","PKP2_m1e14_5726_RV","X5726_RV","PKP2_m1e14"
"35","GSM8016746","PKP2_m1e14_2.5wk_5755_LV","X5755_LV","PKP2_m1e14_2.5wk"
"36","GSM8016747","PKP2_m1e14_2.5wk_5755_RV","X5755_RV","PKP2_m1e14_2.5wk"
"37","GSM8016748","PKP2_m3e13_5759_LV","X5759_LV","PKP2_m3e13"
"38","GSM8016749","PKP2_m3e13_5759_RV","X5759_RV","PKP2_m3e13"
"39","GSM8016750","PKP2_m3e13_5768_LV","X5768_LV","PKP2_m3e13"
"40","GSM8016751","PKP2_m3e13_5768_RV","X5768_RV","PKP2_m3e13"
"41","GSM8016752","PKP2_m1e14_2.5wk_5801_LV","X5801_LV","PKP2_m1e14_2.5wk"
"42","GSM8016753","PKP2_m1e14_2.5wk_5801_RV","X5801_RV","PKP2_m1e14_2.5wk"
"43","GSM8016754","WT_HBSS_5803_LV","X5803_LV","WT_HBSS"
"44","GSM8016755","WT_HBSS_5803_RV","X5803_RV","WT_HBSS"
"45","GSM8016756","PKP2_m1e14_2.5wk_5806_LV","X5806_LV","PKP2_m1e14_2.5wk"
"46","GSM8016757","PKP2_m1e14_2.5wk_5806_RV","X5806_RV","PKP2_m1e14_2.5wk"
"47","GSM8016758","PKP2_m1e14_2.5wk_5807_LV","X5807_LV","PKP2_m1e14_2.5wk"
"48","GSM8016759","PKP2_m1e14_2.5wk_5807_RV","X5807_RV","PKP2_m1e14_2.5wk"
"49","GSM8016760","PKP2_m3e13_5809_LV","X5809_LV","PKP2_m3e13"
"50","GSM8016761","PKP2_m3e13_5809_RV","X5809_RV","PKP2_m3e13"
"51","GSM8016762","PKP2_m1e14_2.5wk_5810_LV","X5810_LV","PKP2_m1e14_2.5wk"
"52","GSM8016763","PKP2_m1e14_2.5wk_5810_RV","X5810_RV","PKP2_m1e14_2.5wk"
"53","GSM8016764","WT_HBSS_5813_LV","X5813_LV","WT_HBSS"
"54","GSM8016765","WT_HBSS_5813_RV","X5813_RV","WT_HBSS"
"55","GSM8016766","PKP2_m1e14_2.5wk_5814_LV","X5814_LV","PKP2_m1e14_2.5wk"
"56","GSM8016767","PKP2_m1e14_2.5wk_5814_RV","X5814_RV","PKP2_m1e14_2.5wk"
"57","GSM8016768","WT_HBSS_5819_LV","X5819_LV","WT_HBSS"
"58","GSM8016769","WT_HBSS_5819_RV","X5819_RV","WT_HBSS"
"59","GSM8016770","PKP2_m1e14_5822_LV","X5822_LV","PKP2_m1e14"
"60","GSM8016771","PKP2_m1e14_5822_RV","X5822_RV","PKP2_m1e14"
"61","GSM8016772","WT_HBSS_5823_LV","X5823_LV","WT_HBSS"
"62","GSM8016773","WT_HBSS_5823_RV","X5823_RV","WT_HBSS"
"63","GSM8016774","PKP2_m1e14_5825_LV","X5825_LV","PKP2_m1e14"
"64","GSM8016775","PKP2_m1e14_5825_RV","X5825_RV","PKP2_m1e14"
